#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-global-random-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.248777 seconds
Distributing the actor graph took: 2.39737 seconds
Added actors in: 0.105554 seconds.
Initialized connections of actors in: 0.0117855 seconds.
Async Migration only
Rank-603: (1) 0 | (2) 1119 | (3)0/100 | (4) 6 | (5) 108.474 | (6) 5.39927 | (7) 0.000103896 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-42: (1) 0 | (2) 1121 | (3)0/100 | (4) 6 | (5) 109.022 | (6) 5.28209 | (7) 7.7216e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-519: (1) 0 | (2) 1123 | (3)0/100 | (4) 6 | (5) 109.553 | (6) 5.08289 | (7) 6.3242e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-336: (1) 0 | (2) 1114 | (3)0/100 | (4) 6 | (5) 109.09 | (6) 5.10526 | (7) 0.000128713 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-690: (1) 0 | (2) 1123 | (3)0/100 | (4) 6 | (5) 108.169 | (6) 5.49533 | (7) 0.000164206 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-495: (1) 0 | (2) 1125 | (3)0/100 | (4) 6 | (5) 109.464 | (6) 5.11901 | (7) 0.000155819 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-565: (1) 0 | (2) 1129 | (3)0/100 | (4) 6 | (5) 108.979 | (6) 5.26803 | (7) 2.8697e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-800: (1) 0 | (2) 1123 | (3)0/100 | (4) 6 | (5) 109.071 | (6) 4.94519 | (7) 9.7734e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-337: (1) 0 | (2) 1133 | (3)0/100 | (4) 6 | (5) 108.264 | (6) 5.53033 | (7) 9.1229e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-691: (1) 0 | (2) 1121 | (3)0/100 | (4) 6 | (5) 109.551 | (6) 5.05328 | (7) 5.9762e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-496: (1) 0 | (2) 1122 | (3)0/100 | (4) 6 | (5) 107.879 | (6) 5.62637 | (7) 5.2611e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-566: (1) 0 | (2) 1126 | (3)0/100 | (4) 6 | (5) 107.951 | (6) 5.56196 | (7) 0.000148528 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-801: (1) 0 | (2) 1130 | (3)0/100 | (4) 6 | (5) 108.172 | (6) 5.54389 | (7) 2.6417e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-536: (1) 0 | (2) 1116 | (3)0/100 | (4) 6 | (5) 109.296 | (6) 5.11768 | (7) 0.0001271 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-94: (1) 0 | (2) 1127 | (3)0/100 | (4) 6 | (5) 108.543 | (6) 5.63608 | (7) 0.000148962 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-841: (1) 0 | (2) 1127 | (3)0/100 | (4) 6 | (5) 108.103 | (6) 5.76101 | (7) 0.000106005 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-431: (1) 0 | (2) 1129 | (3)0/100 | (4) 6 | (5) 107.02 | (6) 6.30496 | (7) 9.9624e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-68: (1) 0 | (2) 1133 | (3)0/100 | (4) 5 | (5) 90.2261 | (6) 14.9309 | (7) 5.8767e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 88.2353/100| (15)0 | (16) 1
Rank-449: (1) 0 | (2) 1136 | (3)0/100 | (4) 5 | (5) 90.8925 | (6) 14.6183 | (7) 8.4073e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 88.2353/100| (15)0 | (16) 1
Rank-642: (1) 0 | (2) 1108 | (3)0/100 | (4) 6 | (5) 108.457 | (6) 5.41509 | (7) 5.8246e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-139: (1) 0 | (2) 1118 | (3)0/100 | (4) 6 | (5) 109.359 | (6) 4.90636 | (7) 0.000108796 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-651: (1) 0 | (2) 1121 | (3)0/100 | (4) 6 | (5) 109.416 | (6) 5.05037 | (7) 9.3141e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 95.7983/100| (15)0 | (16) 1
Rank-235: (1) 0 | (2) 1130 | (3)0/100 | (4) 5 | (5) 90.7657 | (6) 14.487 | (7) 8.0738e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 88.2353/100| (15)0 | (16) 1
Rank-252: (1) 0 | (2) 1122 | (3)0/100 | (4) 6 | (5) 107.828 | (6) 5.68143 | (7) 0.000172523 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-329: (1) 0 | (2) 1104 | (3)0/100 | (4) 6 | (5) 108.386 | (6) 5.46063 | (7) 0.000139782 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-875: (1) 0 | (2) 1120 | (3)0/100 | (4) 6 | (5) 108.214 | (6) 5.47961 | (7) 4.4504e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-189: (1) 0 | (2) 1141 | (3)0/100 | (4) 5 | (5) 89.9671 | (6) 15.1114 | (7) 3.9722e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 88.2353/100| (15)0 | (16) 1
Rank-197: (1) 0 | (2) 1145 | (3)0/100 | (4) 5 | (5) 91.521 | (6) 14.437 | (7) 0.000131822 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 88.2353/100| (15)0 | (16) 1
Rank-774: (1) 0 | (2) 1102 | (3)0/100 | (4) 6 | (5) 115.769 | (6) 1.84536 | (7) 8.2009e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 98.3193/100| (15)0 | (16) 1
Rank-729: (1) 0 | (2) 1119 | (3)0/100 | (4) 6 | (5) 107.438 | (6) 5.90774 | (7) 8.674e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-161: (1) 0 | (2) 1138 | (3)0/100 | (4) 5 | (5) 91.3531 | (6) 14.6938 | (7) 8.7243e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 89.0756/100| (15)0 | (16) 1
Rank-415: (1) 0 | (2) 1120 | (3)0/100 | (4) 6 | (5) 108.155 | (6) 5.53595 | (7) 7.6537e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
Rank-718: (1) 0 | (2) 1136 | (3)0/100 | (4) 6 | (5) 108.426 | (6) 5.37829 | (7) 6.1474e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 119.259 | (14) 94.958/100| (15)0 | (16) 1
