#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-busy-2-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0010368 seconds
Distributing the actor graph took: 2.2019 seconds
Added actors in: 0.228508 seconds.
Initialized connections of actors in: 0.0110586 seconds.
Async Migration only
Output number: 1, Rank-45: (1) 103 | (2) 839 | (3)12.2765/100 | (4) 103, 103 | (5) 167.604 | (6) 5.33155 | (7) 6.9843e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 95.5556/100 | (15) 0 | (17) (103, 103) | (18) X | (19) (50294, 50294) | (20) 1 | (21) 0 | (22) 0 | (23) 25 | (24) 3427.63
Output number: 1, Rank-44: (1) 121 | (2) 795 | (3)15.2201/100 | (4) 102, 102 | (5) 169.59 | (6) 4.74487 | (7) 2.2089e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.6667/100 | (15) 0 | (17) (102, 102) | (18) X | (19) (50818, 50818) | (20) 1 | (21) 1 | (22) 0 | (23) 36 | (24) 3395.65
Output number: 1, Rank-48: (1) 97 | (2) 780 | (3)12.4359/100 | (4) 101, 101 | (5) 169.488 | (6) 4.66441 | (7) 2.582e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.6667/100 | (15) 0 | (17) (101, 101) | (18) X | (19) (50625, 50625) | (20) 1 | (21) 1 | (22) 0 | (23) 41 | (24) 3372.19
Output number: 1, Rank-40: (1) 117 | (2) 788 | (3)14.8477/100 | (4) 104, 104 | (5) 168.563 | (6) 5.10477 | (7) 3.0989e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.1111/100 | (15) 0 | (17) (104, 104) | (18) X | (19) (50525, 50525) | (20) 1 | (21) 1 | (22) 0 | (23) 42 | (24) 3462.92
Output number: 1, Rank-38: (1) 117 | (2) 844 | (3)13.8626/100 | (4) 102, 102 | (5) 168.887 | (6) 5.04494 | (7) 8.6064e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 96.1111/100 | (15) 0 | (17) (102, 102) | (18) X | (19) (51269, 51269) | (20) 1 | (21) 1 | (22) 0 | (23) 41 | (24) 3355.69
Output number: 1, Rank-43: (1) 89 | (2) 745 | (3)11.9463/100 | (4) 104, 104 | (5) 168.839 | (6) 4.99713 | (7) 1.5738e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 96.1111/100 | (15) 0 | (17) (104, 104) | (18) X | (19) (51353, 51353) | (20) 1 | (21) 1 | (22) 0 | (23) 34 | (24) 3420.52
Output number: 1, Rank-52: (1) 102 | (2) 781 | (3)13.0602/100 | (4) 100, 100 | (5) 170.044 | (6) 4.45133 | (7) 9.5151e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 96.6667/100 | (15) 0 | (17) (100, 100) | (18) X | (19) (50964, 50964) | (20) 1 | (21) 1 | (22) 0 | (23) 35 | (24) 3334.01
Output number: 1, Rank-3: (1) 78 | (2) 444 | (3)17.5676/100 | (4) 32, 32 | (5) 99.6127 | (6) 1.42035 | (7) 3.3755e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.006 | (14) 56.1111/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (29432, 29432) | (20) 1 | (21) 1 | (22) 0 | (23) 39 | (24) 1341.04
Output number: 1, Rank-5: (1) 74 | (2) 505 | (3)14.6535/100 | (4) 32, 32 | (5) 99.6493 | (6) 1.4418 | (7) 4.1173e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.006 | (14) 56.1111/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (29496, 29496) | (20) 1 | (21) 1 | (22) 0 | (23) 37 | (24) 1344.35
Output number: 1, Rank-2: (1) 77 | (2) 422 | (3)18.2464/100 | (4) 32, 32 | (5) 99.6827 | (6) 1.40536 | (7) 9.4082e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.01 | (14) 56.1111/100 | (15) 0 | (17) (32, 32) | (18) X | (19) (29459, 29459) | (20) 1 | (21) 0 | (22) 0 | (23) 32 | (24) 1342.95
