#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-global-random-4-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00171325 seconds
Distributing the actor graph took: 41.3008 seconds
Added actors in: 0.547831 seconds.
Initialized connections of actors in: 0.0463409 seconds.
Async Migration only
Output number: 1, Rank-53: (1) 0 | (2) 1788 | (3)0/100 | (4) 184, 184 | (5) 2.59656 | (6) 63.8771 | (7) 0.000152906 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (66651, 66651) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.7602
Output number: 1, Rank-71: (1) 0 | (2) 1787 | (3)0/100 | (4) 182, 182 | (5) 2.37877 | (6) 63.3214 | (7) 0.000195562 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.1111/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (61061, 61061) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.4938
Output number: 1, Rank-107: (1) 0 | (2) 948 | (3)0/100 | (4) 91, 91 | (5) 140.517 | (6) 15.5676 | (7) 0.000116378 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.6667/100 | (15) 0 | (17) (91, 91) | (18) X | (19) (49993, 49993) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 2588.03
Output number: 1, Rank-54: (1) 0 | (2) 1788 | (3)0/100 | (4) 185, 185 | (5) 2.3803 | (6) 64.0975 | (7) 0.000226522 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (62464, 62464) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.3685
Output number: 1, Rank-73: (1) 0 | (2) 1787 | (3)0/100 | (4) 182, 182 | (5) 2.39864 | (6) 65.9977 | (7) 0.000280061 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.7778/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (61659, 61659) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.6221
Output number: 1, Rank-108: (1) 0 | (2) 1789 | (3)0/100 | (4) 187, 187 | (5) 2.64386 | (6) 64.5785 | (7) 0.00015469 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.2222/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (68383, 68383) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 70.0563
Output number: 1, Rank-55: (1) 0 | (2) 1788 | (3)0/100 | (4) 188, 188 | (5) 2.55644 | (6) 65.2108 | (7) 0.000282996 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.2222/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (64382, 64382) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 67.4053
Output number: 1, Rank-74: (1) 0 | (2) 1788 | (3)0/100 | (4) 185, 185 | (5) 2.52465 | (6) 64.8122 | (7) 0.000168905 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.2222/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (65200, 65200) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.4944
Output number: 1, Rank-109: (1) 0 | (2) 1789 | (3)0/100 | (4) 187, 187 | (5) 2.74837 | (6) 63.7816 | (7) 0.000106056 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (187, 187) | (18) X | (19) (69993, 69993) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.957
Output number: 1, Rank-31: (1) 0 | (2) 1787 | (3)0/100 | (4) 182, 182 | (5) 2.5535 | (6) 65.1793 | (7) 0.000202342 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.2222/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (64453, 64453) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.4813
Output number: 1, Rank-77: (1) 0 | (2) 1788 | (3)0/100 | (4) 184, 184 | (5) 2.67354 | (6) 63.8198 | (7) 0.000282268 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (70520, 70520) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.526
Output number: 1, Rank-79: (1) 0 | (2) 1786 | (3)0/100 | (4) 186, 186 | (5) 2.64303 | (6) 63.7274 | (7) 0.000192463 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (69031, 69031) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.7543
Output number: 1, Rank-110: (1) 25 | (2) 1773 | (3)1.41004/100 | (4) 211, 211 | (5) 20.3442 | (6) 58.9767 | (7) 0.000115727 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (211, 211) | (18) X | (19) (76301, 76301) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 849.318
Output number: 1, Rank-36: (1) 0 | (2) 1788 | (3)0/100 | (4) 185, 185 | (5) 2.33897 | (6) 66.1171 | (7) 0.000186157 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.7778/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (59347, 59347) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.0507
Output number: 1, Rank-111: (1) 31 | (2) 1772 | (3)1.74944/100 | (4) 219, 219 | (5) 21.4491 | (6) 58.3495 | (7) 0.00017785 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 43.8889/100 | (15) 0 | (17) (219, 219) | (18) X | (19) (79783, 79783) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 983.514
Output number: 1, Rank-37: (1) 0 | (2) 1787 | (3)0/100 | (4) 183, 183 | (5) 2.4449 | (6) 64.9531 | (7) 0.00027958 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.2222/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (60858, 60858) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.0057
Output number: 1, Rank-80: (1) 0 | (2) 1788 | (3)0/100 | (4) 188, 188 | (5) 2.57616 | (6) 65.1698 | (7) 0.000218503 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.2222/100 | (15) 0 | (17) (188, 188) | (18) X | (19) (69521, 69521) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.8776
Output number: 1, Rank-84: (1) 0 | (2) 1787 | (3)0/100 | (4) 182, 182 | (5) 2.43267 | (6) 62.825 | (7) 0.00012244 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.1111/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (62187, 62187) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 65.5422
Output number: 1, Rank-42: (1) 0 | (2) 1787 | (3)0/100 | (4) 190, 190 | (5) 2.31156 | (6) 65.3646 | (7) 0.000166063 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.2222/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (61050, 61050) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 64.3541
Output number: 1, Rank-81: (1) 4 | (2) 1783 | (3)0.224341/100 | (4) 190, 190 | (5) 7.13334 | (6) 61.2352 | (7) 0.000287716 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.7778/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (70954, 70954) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 195.318
Output number: 1, Rank-86: (1) 0 | (2) 1788 | (3)0/100 | (4) 184, 184 | (5) 2.54563 | (6) 64.1748 | (7) 0.00011763 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (184, 184) | (18) X | (19) (66311, 66311) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 63.0453
Output number: 1, Rank-44: (1) 0 | (2) 1788 | (3)0/100 | (4) 185, 185 | (5) 2.16419 | (6) 63.9352 | (7) 0.000220211 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.6667/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (57592, 57592) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 62.1041
Output number: 1, Rank-82: (1) 9 | (2) 1734 | (3)0.519031/100 | (4) 195, 195 | (5) 66.298 | (6) 41.1207 | (7) 0.000305069 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 59.4444/100 | (15) 0 | (17) (195, 195) | (18) X | (19) (75845, 75845) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1838.7
Output number: 1, Rank-87: (1) 0 | (2) 1787 | (3)0/100 | (4) 189, 189 | (5) 2.65748 | (6) 63.3037 | (7) 0.000129006 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.1111/100 | (15) 0 | (17) (189, 189) | (18) X | (19) (68510, 68510) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.5643
Output number: 1, Rank-48: (1) 0 | (2) 1788 | (3)0/100 | (4) 181, 181 | (5) 2.17212 | (6) 66.6384 | (7) 0.00018708 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 37.7778/100 | (15) 0 | (17) (181, 181) | (18) X | (19) (57574, 57574) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 61.4772
Output number: 1, Rank-59: (1) 0 | (2) 1786 | (3)0/100 | (4) 186, 186 | (5) 2.41238 | (6) 62.8262 | (7) 0.000295573 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 36.1111/100 | (15) 0 | (17) (186, 186) | (18) X | (19) (60332, 60332) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 66.4204
