#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-contig/pond-sw-local-random-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.252825 seconds
Distributing the actor graph took: 2.42239 seconds
Added actors in: 0.0859055 seconds.
Initialized connections of actors in: 0.0117518 seconds.
Async Migration only
Output number: 1, Rank-568: (1) 1 | (2) 1580 | (3)0.0632911/100 | (4) 6, 6 | (5) 75.4476 | (6) 52.6405 | (7) 0.000134612 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 71.1111/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22594, 22594) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 199.683 | (25) (33.6228, 29-52) | (26) 28386 | (27) -2.62901e-13
Output number: 1, Rank-261: (1) 2 | (2) 1577 | (3)0.126823/100 | (4) 7, 7 | (5) 79.4009 | (6) 48.4362 | (7) 6.5011e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70.5556/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (24133, 24133) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 230.143 | (25) (33.4512, 54-15) | (26) 17342 | (27) 5.96856e-13
Output number: 1, Rank-338: (1) 0 | (2) 1541 | (3)0/100 | (4) 5, 5 | (5) 63.0322 | (6) 60.1075 | (7) 0.000130996 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 68.3333/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (19173, 19173) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 163.896 | (25) (33.2601, 59-23) | (26) 5572 | (27) -0.88937
Output number: 1, Rank-44: (1) 0 | (2) 1540 | (3)0/100 | (4) 5, 5 | (5) 71.3397 | (6) 31.5588 | (7) 4.2829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 56.6667/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (21042, 21042) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 205.976 | (25) (43.3113, 32-33) | (26) 30600 | (27) -21.3624
Output number: 1, Rank-8: (1) 0 | (2) 1526 | (3)0/100 | (4) 6, 6 | (5) 75.7435 | (6) 23.7561 | (7) 0.000139552 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 55/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (22348, 22348) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 246.676 | (25) (43.1012, 18-28) | (26) 1 | (27) 83.9904
Output number: 1, Rank-9: (1) 0 | (2) 1540 | (3)0/100 | (4) 5, 5 | (5) 62.3011 | (6) 38.2262 | (7) 5.8145e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 55.5556/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18627, 18627) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 200.686 | (25) (40.9863, 21-27) | (26) 1 | (27) -3.33955e-13
Output number: 1, Rank-339: (1) 0 | (2) 1580 | (3)0/100 | (4) 5, 5 | (5) 61.9861 | (6) 60.6491 | (7) 0.000157973 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.7778/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18800, 18800) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 164.333 | (25) (33.3967, 56-27) | (26) 4473 | (27) -0.62317
Output number: 1, Rank-47: (1) 0 | (2) 1520 | (3)0/100 | (4) 5, 5 | (5) 64.382 | (6) 36.4191 | (7) 6.8336e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 55.5556/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18925, 18925) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 206.799 | (25) (42.8929, 26-31) | (26) 52906 | (27) -2.84217e-14
Output number: 1, Rank-239: (1) 0 | (2) 1556 | (3)0/100 | (4) 5, 5 | (5) 63.3894 | (6) 59.5761 | (7) 6.4187e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 67.7778/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (18776, 18776) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 167.938 | (25) (33.9706, 42-2) | (26) 93196 | (27) -3.69482e-13
Output number: 1, Rank-95: (1) 1 | (2) 1531 | (3)0.0653168/100 | (4) 7, 7 | (5) 77.5399 | (6) 20.9452 | (7) 7.6846e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 54.4444/100 | (15) 0 | (17) (7, 7) | (18) X | (19) (23079, 23079) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 284.813 | (25) (42.8948, 9-28) | (26) 8116 | (27) -19.6112
