#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-global-random-8-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00346747 seconds
Distributing the actor graph took: 2.32179 seconds
Added actors in: 0.0626771 seconds.
Initialized connections of actors in: 0.011594 seconds.
Async Migration only
Output number: 1, Rank-10: (1) 0 | (2) 1624 | (3)0/100 | (4) 23, 23 | (5) 168.097 | (6) 5.72469 | (7) 6.9865e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 96.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50699, 50699) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 763.079
Output number: 1, Rank-13: (1) 3 | (2) 1579 | (3)0.189994/100 | (4) 24, 24 | (5) 169.266 | (6) 5.06878 | (7) 8.0702e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.6667/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (51109, 51109) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 792.408
Output number: 1, Rank-14: (1) 1 | (2) 1599 | (3)0.0625391/100 | (4) 23, 23 | (5) 172.284 | (6) 3.73928 | (7) 0.000135137 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 97.7778/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (51838, 51838) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 764.393
Output number: 1, Rank-15: (1) 0 | (2) 1685 | (3)0/100 | (4) 23, 23 | (5) 167.304 | (6) 5.83924 | (7) 8.8237e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 96.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50895, 50895) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 749.164
Output number: 1, Rank-108: (1) 0 | (2) 1673 | (3)0/100 | (4) 23, 23 | (5) 165.814 | (6) 6.78306 | (7) 0.000129315 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50343, 50343) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 756.66
Output number: 1, Rank-143: (1) 1 | (2) 1668 | (3)0.059952/100 | (4) 24, 24 | (5) 166.806 | (6) 6.20401 | (7) 3.3086e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.1111/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (50679, 50679) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 787.693
Output number: 1, Rank-65: (1) 1 | (2) 1520 | (3)0.0657895/100 | (4) 24, 24 | (5) 174.256 | (6) 2.88035 | (7) 5.9499e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 98.3333/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (52853, 52853) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 792.234
Output number: 1, Rank-222: (1) 0 | (2) 1522 | (3)0/100 | (4) 24, 24 | (5) 172.604 | (6) 3.58715 | (7) 8.4093e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 97.7778/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (52492, 52492) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 787.474
Output number: 1, Rank-121: (1) 0 | (2) 1645 | (3)0/100 | (4) 23, 23 | (5) 166.447 | (6) 7.29176 | (7) 8.58e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.1111/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50653, 50653) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 755.095
Output number: 1, Rank-182: (1) 1 | (2) 1660 | (3)0.060241/100 | (4) 23, 23 | (5) 165.618 | (6) 6.66928 | (7) 7.3899e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 95.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (50449, 50449) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 754.846
