#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload-contig/pond-sw-local-random-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00271909 seconds
Distributing the actor graph took: 2.1697 seconds
Added actors in: 0.152963 seconds.
Initialized connections of actors in: 0.0116489 seconds.
Async Migration only
Output number: 1, Rank-9: (1) 1 | (2) 1068 | (3)0.093633/100 | (4) 47, 47 | (5) 177.784 | (6) 0.938318 | (7) 8.54e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 98.8889/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (53293, 53293) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 1563.37 | (25) (33.9093, 34-67) | (26) 1 | (27) 65.908
Output number: 1, Rank-10: (1) 1 | (2) 1281 | (3)0.078064/100 | (4) 45, 45 | (5) 174.626 | (6) 2.44218 | (7) 0.000141512 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 98.3333/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (51764, 51764) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1515.91 | (25) (34.2206, 39-65) | (26) 1 | (27) 32.8796
Output number: 1, Rank-14: (1) 0 | (2) 1426 | (3)0/100 | (4) 45, 45 | (5) 171.272 | (6) 3.71897 | (7) 8.1483e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.6667/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (52055, 52055) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1477.58 | (25) (33.7437, 65-66) | (26) 1 | (27) 32.3638
Output number: 1, Rank-15: (1) 2 | (2) 1150 | (3)0.173913/100 | (4) 47, 47 | (5) 178.34 | (6) 0.719598 | (7) 0.000106866 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 99.4444/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (54501, 54501) | (20) 1 | (21) 1 | (22) 0 | (23) 2 | (24) 1532.67 | (25) (33.1729, 63-67) | (26) 1 | (27) 65.0467
Output number: 1, Rank-16: (1) 3 | (2) 1338 | (3)0.224215/100 | (4) 45, 45 | (5) 173.194 | (6) 2.98561 | (7) 8.5227e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 97.7778/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (52414, 52414) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 1478.72 | (25) (33.5874, 55-65) | (26) 1 | (27) 98.3557
Output number: 1, Rank-17: (1) 6 | (2) 1422 | (3)0.421941/100 | (4) 45, 45 | (5) 172.736 | (6) 3.18359 | (7) 5.7057e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 97.2222/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (52204, 52204) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 1481.01 | (25) (33.395, 63-59) | (26) 1 | (27) 65.3078
Output number: 1, Rank-18: (1) 5 | (2) 1353 | (3)0.369549/100 | (4) 45, 45 | (5) 173.004 | (6) 3.13742 | (7) 0.000122786 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 97.7778/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (52666, 52666) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1476.02 | (25) (33.7854, 54-59) | (26) 1 | (27) 32.3099
Output number: 1, Rank-19: (1) 5 | (2) 1300 | (3)0.384615/100 | (4) 46, 46 | (5) 176.222 | (6) 1.66333 | (7) 0.000146671 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 98.3333/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (53522, 53522) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 1511.19 | (25) (33.1349, 70-58) | (26) 1 | (27) 64.7957
Output number: 1, Rank-20: (1) 4 | (2) 1337 | (3)0.299177/100 | (4) 47, 47 | (5) 177.173 | (6) 1.1932 | (7) 0.000117714 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 98.8889/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (53195, 53195) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1560.71 | (25) (33.7825, 67-64) | (26) 1 | (27) 32.1688
Output number: 1, Rank-0: (1) 5 | (2) 1427 | (3)0.350385/100 | (4) 46, 46 | (5) 173.901 | (6) 2.63863 | (7) 0.000152325 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 97.7778/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (52092, 52092) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 1530.53 | (25) (33.939, 43-52) | (26) 1 | (27) 231.711
