#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-offload-local-single-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00163153 seconds
Distributing the actor graph took: 2.22721 seconds
Added actors in: 0.146208 seconds.
Initialized connections of actors in: 0.0116424 seconds.
Output number: 1, Rank-27: (1) 54 | (2) 54 | (3)100/100 | (4) 59, 59 | (5) 160.026 | (6) 8.00267 | (7) 8.4819e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 93.3333/100 | (15) 0 | (17) (59, 59) | (18) X | (19) (48967, 48967) | (20) 1 | (21) 0 | (22) 0 | (23) 7 | (24) 1934.51
Output number: 1, Rank-88: (1) 62 | (2) 62 | (3)100/100 | (4) 34, 34 | (5) 125.186 | (6) 22.8604 | (7) 0.000120437 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 82.2222/100 | (15) 0 | (17) (34, 34) | (18) X | (19) (38130, 38130) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1113.38
Output number: 1, Rank-77: (1) 59 | (2) 59 | (3)100/100 | (4) 40, 40 | (5) 127.785 | (6) 22.4249 | (7) 3.9e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 83.3333/100 | (15) 0 | (17) (40, 40) | (18) X | (19) (39037, 39037) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1311.63
Output number: 1, Rank-41: (1) 54 | (2) 54 | (3)100/100 | (4) 54, 54 | (5) 141.464 | (6) 15.5321 | (7) 6.9008e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.6667/100 | (15) 0 | (17) (54, 54) | (18) X | (19) (40056, 40056) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 1905.43
Output number: 1, Rank-89: (1) 50 | (2) 50 | (3)100/100 | (4) 41, 41 | (5) 129.901 | (6) 20.9905 | (7) 4.0418e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 83.3333/100 | (15) 0 | (17) (41, 41) | (18) X | (19) (39489, 39489) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1345.6
Output number: 1, Rank-78: (1) 40 | (2) 40 | (3)100/100 | (4) 44, 44 | (5) 134.129 | (6) 19.0446 | (7) 9.6495e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 85/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (40373, 40373) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1459.33
Output number: 1, Rank-33: (1) 60 | (2) 60 | (3)100/100 | (4) 60, 60 | (5) 151.555 | (6) 11.6222 | (7) 0.000135623 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 90.5556/100 | (15) 0 | (17) (60, 60) | (18) X | (19) (46014, 46014) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1970.31
Output number: 1, Rank-92: (1) 60 | (2) 60 | (3)100/100 | (4) 49, 49 | (5) 142.353 | (6) 15.5085 | (7) 0.000127996 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 87.2222/100 | (15) 0 | (17) (49, 49) | (18) X | (19) (42648, 42648) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1615.62
Output number: 1, Rank-57: (1) 50 | (2) 50 | (3)100/100 | (4) 55, 55 | (5) 148.641 | (6) 12.8482 | (7) 5.0456e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 89.4444/100 | (15) 0 | (17) (55, 55) | (18) X | (19) (45310, 45310) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 1793.39
Output number: 1, Rank-38: (1) 74 | (2) 74 | (3)100/100 | (4) 63, 63 | (5) 147.677 | (6) 13.1586 | (7) 9.0542e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 88.8889/100 | (15) 0 | (17) (63, 63) | (18) X | (19) (44804, 44804) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 2076.87
Output number: 1, Rank-96: (1) 44 | (2) 45 | (3)97.7778/100 | (4) 48, 48 | (5) 139.545 | (6) 16.6244 | (7) 0.000122663 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.6667/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (42426, 42426) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1573.01
Output number: 1, Rank-68: (1) 40 | (2) 40 | (3)100/100 | (4) 51, 51 | (5) 138.74 | (6) 16.9672 | (7) 3.6819e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 86.1111/100 | (15) 0 | (17) (51, 51) | (18) X | (19) (42135, 42135) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 1672.52
Output number: 1, Rank-30: (1) 43 | (2) 43 | (3)100/100 | (4) 65, 65 | (5) 153.77 | (6) 10.5004 | (7) 0.000118882 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 91.1111/100 | (15) 0 | (17) (65, 65) | (18) X | (19) (46245, 46245) | (20) 1 | (21) 0 | (22) 0 | (23) 9 | (24) 2156.98
Output number: 1, Rank-6: (1) 94 | (2) 94 | (3)100/100 | (4) 20, 20 | (5) 98.4168 | (6) 2.38742 | (7) 0.000123783 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.005 | (14) 55.5556/100 | (15) 0 | (17) (20, 20) | (18) X | (19) (28802, 28802) | (20) 1 | (21) 0 | (22) 0 | (23) 19 | (24) 851.816
Output number: 1, Rank-97: (1) 51 | (2) 51 | (3)100/100 | (4) 42, 42 | (5) 132.705 | (6) 20.1795 | (7) 4.4289e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 84.4444/100 | (15) 0 | (17) (42, 42) | (18) X | (19) (40232, 40232) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1384.97
Output number: 1, Rank-69: (1) 42 | (2) 42 | (3)100/100 | (4) 46, 46 | (5) 136.565 | (6) 17.6488 | (7) 1.612e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 85.5556/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (41478, 41478) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 1514.54
Output number: 1, Rank-37: (1) 67 | (2) 67 | (3)100/100 | (4) 58, 58 | (5) 153.756 | (6) 10.6689 | (7) 0.00013754 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 91.1111/100 | (15) 0 | (17) (58, 58) | (18) X | (19) (46082, 46082) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1927.32
Output number: 1, Rank-100: (1) 46 | (2) 46 | (3)100/100 | (4) 45, 45 | (5) 132.507 | (6) 19.7826 | (7) 0.000137804 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 84.4444/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (40212, 40212) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1479.36
Output number: 1, Rank-70: (1) 38 | (2) 38 | (3)100/100 | (4) 48, 48 | (5) 142.636 | (6) 15.4389 | (7) 0.000126783 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 87.7778/100 | (15) 0 | (17) (48, 48) | (18) X | (19) (42923, 42923) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 1591.61
Output number: 1, Rank-31: (1) 72 | (2) 72 | (3)100/100 | (4) 64, 64 | (5) 161.825 | (6) 7.28728 | (7) 4.7282e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 93.8889/100 | (15) 0 | (17) (64, 64) | (18) X | (19) (49027, 49027) | (20) 0 | (21) 0 | (22) 0 | (23) 5 | (24) 2110.96
Output number: 1, Rank-103: (1) 37 | (2) 37 | (3)100/100 | (4) 42, 42 | (5) 129.676 | (6) 21.1169 | (7) 3.6527e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 83.3333/100 | (15) 0 | (17) (42, 42) | (18) X | (19) (39397, 39397) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1378.8
