#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-random-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.0186967 seconds
Distributing the actor graph took: 2.41308 seconds
Added actors in: 0.0653138 seconds.
Initialized connections of actors in: 0.0115548 seconds.
Async Migration only
Output number: 1, Rank-616: (1) 0 | (2) 1712 | (3)0/100 | (4) 6, 6 | (5) 91.0204 | (6) 39.6771 | (7) 6.0225e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.2222/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27753, 27753) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 194.809
Output number: 1, Rank-318: (1) 0 | (2) 1723 | (3)0/100 | (4) 5, 5 | (5) 76.1934 | (6) 50.4207 | (7) 0.000138659 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (23074, 23074) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 164.396
Output number: 1, Rank-669: (1) 0 | (2) 1716 | (3)0/100 | (4) 6, 6 | (5) 91.3115 | (6) 41.7198 | (7) 4.0813e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27743, 27743) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.441
Output number: 1, Rank-266: (1) 0 | (2) 1711 | (3)0/100 | (4) 6, 6 | (5) 91.0246 | (6) 41.4627 | (7) 4.7226e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27594, 27594) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.038
Output number: 1, Rank-887: (1) 0 | (2) 1707 | (3)0/100 | (4) 6, 6 | (5) 91.5177 | (6) 41.6187 | (7) 6.3944e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27805, 27805) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.713
Output number: 1, Rank-672: (1) 0 | (2) 1700 | (3)0/100 | (4) 6, 6 | (5) 90.8185 | (6) 40.8493 | (7) 7.042e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.7778/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27575, 27575) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.342
Output number: 1, Rank-413: (1) 0 | (2) 1715 | (3)0/100 | (4) 5, 5 | (5) 76.5295 | (6) 50.0781 | (7) 2.577e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (22973, 22973) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 165.852
Output number: 1, Rank-524: (1) 0 | (2) 1721 | (3)0/100 | (4) 6, 6 | (5) 91.7026 | (6) 42.0128 | (7) 9.6029e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27544, 27544) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 197.954
Output number: 1, Rank-248: (1) 0 | (2) 1719 | (3)0/100 | (4) 6, 6 | (5) 90.9215 | (6) 40.5918 | (7) 0.00013866 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 72.7778/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27624, 27624) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.58
Output number: 1, Rank-728: (1) 0 | (2) 1732 | (3)0/100 | (4) 5, 5 | (5) 75.9505 | (6) 50.7044 | (7) 0.000173882 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 70/100 | (15) 0 | (17) (5, 5) | (18) X | (19) (23042, 23042) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 165.427
Output number: 1, Rank-561: (1) 0 | (2) 1714 | (3)0/100 | (4) 6, 6 | (5) 90.7192 | (6) 41.3995 | (7) 9.9527e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27662, 27662) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 196.036
Output number: 1, Rank-715: (1) 0 | (2) 1701 | (3)0/100 | (4) 6, 6 | (5) 91.3397 | (6) 41.6624 | (7) 6.3103e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27533, 27533) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 198.267
Output number: 1, Rank-280: (1) 0 | (2) 1703 | (3)0/100 | (4) 6, 6 | (5) 92.1051 | (6) 41.6756 | (7) 6.5108e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.8889/100 | (15) 0 | (17) (6, 6) | (18) X | (19) (27737, 27737) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 198.796
