#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-static-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00179193 seconds
Distributing the actor graph took: 2.2406 seconds
Added actors in: 0.117444 seconds.
Initialized connections of actors in: 0.0112707 seconds.
No Migration
Output number: 1, Rank-36: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 102.76 | (6) 34.6988 | (7) 1.5355e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (31056, 31056) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1546.69
Output number: 1, Rank-100: (1) 0 | (2) 0 | (3)0/100 | (4) 44, 44 | (5) 92.1722 | (6) 40.6134 | (7) 1.5829e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 73.3333/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (28028, 28028) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1439.15
Output number: 1, Rank-57: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 103.891 | (6) 36.7623 | (7) 1.0036e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.7778/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (31573, 31573) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1538.54
Output number: 1, Rank-39: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 103.853 | (6) 34.7721 | (7) 1.0758e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.6667/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (31331, 31331) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1549.41
Output number: 1, Rank-101: (1) 0 | (2) 0 | (3)0/100 | (4) 46, 46 | (5) 98.7436 | (6) 37.6253 | (7) 1.1113e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (29788, 29788) | (20) 0 | (21) 0 | (22) 0 | (23) 2 | (24) 1518.33
Output number: 1, Rank-59: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 102.671 | (6) 36.0231 | (7) 9.303e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.6667/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30886, 30886) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1555.99
Output number: 1, Rank-40: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 101.048 | (6) 35.0698 | (7) 1.52e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30792, 30792) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1533.48
Output number: 1, Rank-102: (1) 0 | (2) 0 | (3)0/100 | (4) 46, 46 | (5) 97.3563 | (6) 37.9975 | (7) 1.2113e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (29627, 29627) | (20) 0 | (21) 0 | (22) 0 | (23) 3 | (24) 1505.76
Output number: 1, Rank-60: (1) 0 | (2) 0 | (3)0/100 | (4) 46, 46 | (5) 101.201 | (6) 36.6676 | (7) 1.7744e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (30428, 30428) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1530.12
Output number: 1, Rank-41: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 102.502 | (6) 35.1818 | (7) 1.107e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30949, 30949) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1548.31
Output number: 1, Rank-105: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 101.525 | (6) 36.7281 | (7) 1.1151e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.6667/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30927, 30927) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1533.79
Output number: 1, Rank-61: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 100.939 | (6) 36.3288 | (7) 1.0392e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30674, 30674) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1539.05
Output number: 1, Rank-42: (1) 0 | (2) 0 | (3)0/100 | (4) 46, 46 | (5) 98.3804 | (6) 37.6329 | (7) 1.6957e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (29945, 29945) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1504.92
Output number: 1, Rank-108: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 98.9078 | (6) 37.3634 | (7) 1.3679e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (29930, 29930) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1480.55
Output number: 1, Rank-64: (1) 0 | (2) 0 | (3)0/100 | (4) 44, 44 | (5) 95.4912 | (6) 39.5557 | (7) 1.7657e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (28750, 28750) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1982.29
Output number: 1, Rank-43: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 97.8546 | (6) 39.2574 | (7) 1.2214e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (29855, 29855) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1470.13
Output number: 1, Rank-109: (1) 0 | (2) 0 | (3)0/100 | (4) 46, 46 | (5) 101.391 | (6) 37.5916 | (7) 1.1212e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.6667/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (30908, 30908) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1499.9
Output number: 1, Rank-66: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 103.062 | (6) 37.1206 | (7) 1.4888e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.7778/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (31289, 31289) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1540.68
Output number: 1, Rank-44: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 101.663 | (6) 35.5316 | (7) 1.4973e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30921, 30921) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1535.59
Output number: 1, Rank-21: (1) 0 | (2) 0 | (3)0/100 | (4) 46, 46 | (5) 99.314 | (6) 37.4952 | (7) 1.6272e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.004 | (14) 75.5556/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (29962, 29962) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1528.38
Output number: 1, Rank-110: (1) 0 | (2) 0 | (3)0/100 | (4) 46, 46 | (5) 101.373 | (6) 36.4454 | (7) 1.4797e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (30618, 30618) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1514.56
Output number: 1, Rank-67: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 102.574 | (6) 35.7358 | (7) 1.1869e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.6667/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30970, 30970) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1552.32
Output number: 1, Rank-46: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 108.304 | (6) 31.9386 | (7) 1.6919e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.7778/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30736, 30736) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1650.68
Output number: 1, Rank-111: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 102.702 | (6) 36.1321 | (7) 1.3289e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.6667/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30972, 30972) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1550.94
Output number: 1, Rank-68: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 97.3525 | (6) 37.781 | (7) 1.6696e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (29496, 29496) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1471.04
Output number: 1, Rank-47: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 100.017 | (6) 36.5415 | (7) 1.4344e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75.5556/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30243, 30243) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1546.9
Output number: 1, Rank-84: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 103.576 | (6) 36.0142 | (7) 1.4125e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.2222/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (31496, 31496) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1542.18
Output number: 1, Rank-69: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 102.282 | (6) 35.6757 | (7) 1.3189e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (31120, 31120) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1538.87
Output number: 1, Rank-48: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 99.423 | (6) 36.062 | (7) 1.5286e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30345, 30345) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1531.82
Output number: 1, Rank-85: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 100.059 | (6) 37.4114 | (7) 8.153e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.1111/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (30492, 30492) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1471.91
Output number: 1, Rank-70: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 102.113 | (6) 36.721 | (7) 1.4101e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.6667/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (31186, 31186) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1467.88
Output number: 1, Rank-49: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 98.2262 | (6) 36.3718 | (7) 9.218e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (29858, 29858) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1539.4
Output number: 1, Rank-89: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 104.036 | (6) 35.4248 | (7) 8.588e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.2222/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (31689, 31689) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1535.02
Output number: 1, Rank-71: (1) 0 | (2) 0 | (3)0/100 | (4) 45, 45 | (5) 101.365 | (6) 37.3539 | (7) 1.6222e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.6667/100 | (15) 0 | (17) (45, 45) | (18) X | (19) (30954, 30954) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1470.69
Output number: 1, Rank-53: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 99.168 | (6) 36.6888 | (7) 1.1208e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 75/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (30170, 30170) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1538.73
Output number: 1, Rank-54: (1) 0 | (2) 0 | (3)0/100 | (4) 46, 46 | (5) 98.0978 | (6) 36.5148 | (7) 1.6892e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 74.4444/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (29583, 29583) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1518.29
Output number: 1, Rank-90: (1) 0 | (2) 0 | (3)0/100 | (4) 46, 46 | (5) 102.957 | (6) 35.5633 | (7) 1.1695e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 76.6667/100 | (15) 0 | (17) (46, 46) | (18) X | (19) (31371, 31371) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1501.9
Output number: 1, Rank-74: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 106.893 | (6) 33.8126 | (7) 1.22e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.7778/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (32180, 32180) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1553.06
Output number: 1, Rank-91: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 104.103 | (6) 35.8278 | (7) 7.932e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.2222/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (31609, 31609) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1539.79
Output number: 1, Rank-75: (1) 0 | (2) 0 | (3)0/100 | (4) 47, 47 | (5) 104.929 | (6) 35.0636 | (7) 1.6017e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.2222/100 | (15) 0 | (17) (47, 47) | (18) X | (19) (31531, 31531) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1554.15
