#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload/pond-sw-offload-local-single-24-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.153065 seconds
Distributing the actor graph took: 2.40037 seconds
Added actors in: 0.0458284 seconds.
Initialized connections of actors in: 0.0114758 seconds.
Rank-14: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 144.557 | (6) 8.36237 | (7) 7.943e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.2515/100| (15)0 | (16) 1
Rank-15: (1) 1 | (2) 1 | (3)100/100 | (4) 8 | (5) 144.633 | (6) 8.41671 | (7) 0.000140464 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.865/100| (15)0 | (16) 1
Decomposition: (1) STOLE_COUNT |(2) STOLE_TRIES | (3) REJECTION | (4) ACTIVE_ACTORS | (5) TIME_ACT | (6) PROGRESS | (7) BARRIER |  (8) TIMEOUT_CHECK | (9) TERMINATION_CHECK_DUR | (10) FORCE_TERMINATION_DUR | (11) TERMINATION_CHECK_COUNT | (12) OUTSIDE |  (13) TOTAL | (14) PERCENTAGE | (15) FORCED
Rank-0: (1) 0 | (2) 0 | (3)0/100 | (4) 7 | (5) 126.472 | (6) 16.3298 | (7) 0.000104779 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 87.1166/100| (15)0 | (16) 1
time-to-solution:163.213685
Fri Jul 29 07:14:28 2022	process 0 - Performed 28304640 patch updates in 163.215 seconds.
Fri Jul 29 07:14:28 2022	process 0 - Performed 1769040000000 cell updates in 163.215 seconds.
Fri Jul 29 07:14:28 2022	process 0 - => 1.08387e+10 CellUpdates/s
Fri Jul 29 07:14:28 2022	process 0 - => 2.92646e+12 FlOps/s
Rank-130: (1) 3 | (2) 3 | (3)100/100 | (4) 7 | (5) 136.52 | (6) 12.5607 | (7) 8.658e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 91.411/100| (15)0 | (16) 1
Rank-420: (1) 2 | (2) 2 | (3)100/100 | (4) 7 | (5) 128.014 | (6) 16.4632 | (7) 5.5169e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 88.3436/100| (15)0 | (16) 1
Rank-53: (1) 0 | (2) 0 | (3)0/100 | (4) 7 | (5) 126.512 | (6) 16.6878 | (7) 6.4642e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 87.7301/100| (15)0 | (16) 1
Rank-586: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 137.545 | (6) 11.5211 | (7) 0.000113202 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 91.411/100| (15)0 | (16) 1
Rank-250: (1) 0 | (2) 0 | (3)0/100 | (4) 7 | (5) 125.494 | (6) 17.3267 | (7) 3.6894e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 87.1166/100| (15)0 | (16) 1
Rank-111: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 153.668 | (6) 4.2006 | (7) 4.4134e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 96.319/100| (15)0 | (16) 1
Rank-74: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 134.92 | (6) 12.909 | (7) 2.8759e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 90.184/100| (15)0 | (16) 1
Rank-144: (1) 0 | (2) 0 | (3)0/100 | (4) 9 | (5) 143.972 | (6) 8.96853 | (7) 0.000119306 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.2515/100| (15)0 | (16) 1
Rank-589: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 143.465 | (6) 8.92253 | (7) 0.000116082 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 93.2515/100| (15)0 | (16) 1
Rank-448: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 143.842 | (6) 8.69507 | (7) 0.000146886 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 93.2515/100| (15)0 | (16) 1
Rank-652: (1) 1 | (2) 1 | (3)100/100 | (4) 6 | (5) 130.161 | (6) 15.4176 | (7) 0.000106291 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 88.9571/100| (15)0 | (16) 1
Rank-322: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 145.697 | (6) 7.91141 | (7) 6.8671e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.865/100| (15)0 | (16) 1
Rank-634: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 145.392 | (6) 8.04875 | (7) 8.373e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 93.865/100| (15)0 | (16) 1
Rank-533: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 145.25 | (6) 8.1899 | (7) 0.000152752 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 93.865/100| (15)0 | (16) 1
Rank-179: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 144.32 | (6) 8.76401 | (7) 3.2048e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.865/100| (15)0 | (16) 1
Rank-200: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 144.376 | (6) 8.63406 | (7) 7.5251e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.865/100| (15)0 | (16) 1
Rank-254: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 145.449 | (6) 8.00569 | (7) 3.9131e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.865/100| (15)0 | (16) 1
Rank-406: (1) 1 | (2) 1 | (3)100/100 | (4) 8 | (5) 145.289 | (6) 8.28308 | (7) 7.029e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 93.865/100| (15)0 | (16) 1
Rank-492: (1) 0 | (2) 0 | (3)0/100 | (4) 8 | (5) 147.946 | (6) 6.96558 | (7) 8.7331e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.213 | (14) 94.4785/100| (15)0 | (16) 1
Rank-524: (1) 1 | (2) 1 | (3)100/100 | (4) 7 | (5) 131.675 | (6) 13.8919 | (7) 0.000139423 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 163.214 | (14) 88.9571/100| (15)0 | (16) 1
