#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-random-1-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000941166 seconds
Distributing the actor graph took: 2.14268 seconds
Added actors in: 0.444192 seconds.
Initialized connections of actors in: 0.0117432 seconds.
Async Migration only
Output number: 2, Rank-25: (1) 11 | (2) 2816 | (3)0.390625/100 | (4) 198, 198 | (5) 187.443 | (6) 59.1124 | (7) 3.0697e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 68.3333/100 | (15) 0 | (17) (198, 198) | (18) X | (19) (56204, 21910) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6514.2
Output number: 2, Rank-4: (1) 16 | (2) 2759 | (3)0.57992/100 | (4) 203, 203 | (5) 184.536 | (6) 60.6918 | (7) 8.9964e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 68.0556/100 | (15) 0 | (17) (203, 203) | (18) X | (19) (55910, 23477) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6659.6
Output number: 2, Rank-5: (1) 32 | (2) 2725 | (3)1.17431/100 | (4) 182, 182 | (5) 174.129 | (6) 63.3998 | (7) 1.9663e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 65.8333/100 | (15) 0 | (17) (182, 182) | (18) X | (19) (52833, 21025) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5974.7
Output number: 2, Rank-6: (1) 8 | (2) 2410 | (3)0.33195/100 | (4) 183, 183 | (5) 177.56 | (6) 63.5904 | (7) 7.2037e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 66.9444/100 | (15) 0 | (17) (183, 183) | (18) X | (19) (53345, 21149) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6057.65
Output number: 2, Rank-8: (1) 3 | (2) 2377 | (3)0.12621/100 | (4) 190, 190 | (5) 198.758 | (6) 59.4192 | (7) 9.6831e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 71.6667/100 | (15) 0 | (17) (190, 190) | (18) X | (19) (60248, 26025) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6230.75
Output number: 2, Rank-10: (1) 0 | (2) 2605 | (3)0/100 | (4) 185, 185 | (5) 198.234 | (6) 56.7002 | (7) 8.071e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 70.5556/100 | (15) 0 | (17) (185, 185) | (18) X | (19) (60163, 24067) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6059.99
Output number: 2, Rank-13: (1) 10 | (2) 2760 | (3)0.362319/100 | (4) 195, 195 | (5) 192.201 | (6) 57.6242 | (7) 5.011e-06 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 69.1667/100 | (15) 0 | (17) (195, 195) | (18) X | (19) (58412, 24910) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6385.56
Output number: 2, Rank-7: (1) 0 | (2) 2650 | (3)0/100 | (4) 175, 175 | (5) 198.979 | (6) 56.6321 | (7) 5.2061e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 70.8333/100 | (15) 0 | (17) (175, 175) | (18) X | (19) (59796, 23917) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 5797.3
Output number: 2, Rank-17: (1) 22 | (2) 2691 | (3)0.81754/100 | (4) 204, 204 | (5) 221.264 | (6) 47.8796 | (7) 5.8227e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 74.7222/100 | (15) 0 | (17) (204, 204) | (18) X | (19) (67548, 26196) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6629.55
Output number: 2, Rank-18: (1) 7 | (2) 2546 | (3)0.274941/100 | (4) 195, 195 | (5) 221.116 | (6) 49.4548 | (7) 7.2728e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 75/100 | (15) 0 | (17) (195, 195) | (18) X | (19) (62086, 22945) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 6908.96
