#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-contig/pond-sw-local-busy-4-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00256858 seconds
Distributing the actor graph took: 2.25966 seconds
Added actors in: 0.117687 seconds.
Initialized connections of actors in: 0.0112851 seconds.
Async Migration only
Output number: 1, Rank-0: (1) 162 | (2) 837 | (3)19.3548/100 | (4) 21, 21 | (5) 97.3689 | (6) 3.56837 | (7) 3.292e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 55.5556/100 | (15) 0 | (17) (21, 21) | (18) X | (19) (28696, 28696) | (20) 1 | (21) 0 | (22) 0 | (23) 8 | (24) 870.993 | (25) (44.5275, 38-52) | (26) 1 | (27) -2305.33
Output number: 1, Rank-8: (1) 174 | (2) 710 | (3)24.507/100 | (4) 19, 19 | (5) 96.4122 | (6) 3.26558 | (7) 5.9242e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 55/100 | (15) 0 | (17) (19, 19) | (18) X | (19) (28242, 28242) | (20) 1 | (21) 0 | (22) 0 | (23) 10 | (24) 796.245 | (25) (43.3234, 46-67) | (26) 1 | (27) -3981.67
Output number: 1, Rank-9: (1) 162 | (2) 792 | (3)20.4545/100 | (4) 22, 22 | (5) 95.518 | (6) 4.90121 | (7) 4.3109e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.003 | (14) 55.5556/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (27955, 27955) | (20) 1 | (21) 1 | (22) 0 | (23) 13 | (24) 934.189 | (25) (43.9861, 51-69) | (26) 1 | (27) -1567.77
Output number: 1, Rank-12: (1) 190 | (2) 756 | (3)25.1323/100 | (4) 15, 15 | (5) 97.4207 | (6) 3.15755 | (7) 0.000102415 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 55.5556/100 | (15) 0 | (17) (15, 15) | (18) X | (19) (28409, 28409) | (20) 1 | (21) 1 | (22) 0 | (23) 4 | (24) 630.846 | (25) (42.9435, 41-65) | (26) 1 | (27) -4023.24
Output number: 1, Rank-13: (1) 174 | (2) 878 | (3)19.8178/100 | (4) 23, 23 | (5) 94.2754 | (6) 6.05627 | (7) 0.000103319 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.002 | (14) 55.5556/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (27879, 27879) | (20) 1 | (21) 1 | (22) 0 | (23) 12 | (24) 977.206 | (25) (43.6227, 44-67) | (26) 1 | (27) -2123.47
Output number: 1, Rank-46: (1) 66 | (2) 701 | (3)9.41512/100 | (4) 39, 39 | (5) 108.55 | (6) 32.1257 | (7) 0.000138909 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 77.7778/100 | (15) 0 | (17) (39, 39) | (18) X | (19) (32723, 32723) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1292.01 | (25) (33.7996, 7-69) | (26) 5419 | (27) -0.24785
Output number: 1, Rank-92: (1) 96 | (2) 1202 | (3)7.98669/100 | (4) 54, 54 | (5) 130.283 | (6) 22.3467 | (7) 0.000149659 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 84.4444/100 | (15) 0 | (17) (54, 54) | (18) X | (19) (39520, 39520) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1773.24 | (25) (33.9776, 24-3) | (26) 2665 | (27) -0.71881
Output number: 1, Rank-81: (1) 106 | (2) 1011 | (3)10.4847/100 | (4) 49, 49 | (5) 120.65 | (6) 26.9555 | (7) 5.7946e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 81.6667/100 | (15) 0 | (17) (49, 49) | (18) X | (19) (36190, 36190) | (20) 1 | (21) 0 | (22) 0 | (23) 1 | (24) 1631.06 | (25) (34.0217, 55-10) | (26) 1 | (27) 31.4213
Output number: 1, Rank-48: (1) 103 | (2) 998 | (3)10.3206/100 | (4) 44, 44 | (5) 111.893 | (6) 30.7139 | (7) 0.000128696 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 78.8889/100 | (15) 0 | (17) (44, 44) | (18) X | (19) (33578, 33578) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1464.33 | (25) (34.2088, 17-62) | (26) 1438 | (27) -0.72996
Output number: 1, Rank-93: (1) 88 | (2) 1019 | (3)8.63592/100 | (4) 49, 49 | (5) 126.475 | (6) 24.3778 | (7) 9.3161e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 83.3333/100 | (15) 0 | (17) (49, 49) | (18) X | (19) (38411, 38411) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1609.14 | (25) (33.5315, 16-3) | (26) 17833 | (27) -0.82584
