#### POND Configuration ####
Total Grid Size:          36000x36000 = 1296000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-lazyactivation-big/pond-offload-local-single-1-250-36000x36000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00277778m * 0.00277778m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.000847394 seconds
Distributing the actor graph took: 41.7045 seconds
Added actors in: 1.75164 seconds.
Initialized connections of actors in: 0.049009 seconds.
Output number: 2, Rank-6: (1) 373 | (2) 373 | (3)100/100 | (4) 370, 370 | (5) 117.416 | (6) 75.4205 | (7) 0.000552279 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 53.3333/100 | (15) 0 | (17) (370, 370) | (18) X | (19) (221580, 101693) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1702.99
Output number: 2, Rank-14: (1) 0 | (2) 0 | (3)0/100 | (4) 909, 909 | (5) 89.9037 | (6) 71.6766 | (7) 0.000577012 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 44.7222/100 | (15) 0 | (17) (909, 909) | (18) X | (19) (415180, 238632) | (20) 1 | (21) 0 | (22) 0 | (23) 27 | (24) 2722.04
Output number: 2, Rank-25: (1) 570 | (2) 570 | (3)100/100 | (4) 176, 176 | (5) 147.563 | (6) 68.7136 | (7) 0.00010638 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 60/100 | (15) 0 | (17) (176, 176) | (18) X | (19) (134914, 49950) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1754.58
Output number: 2, Rank-20: (1) 610 | (2) 610 | (3)100/100 | (4) 134, 134 | (5) 128.475 | (6) 79.2384 | (7) 0.000101688 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 57.5/100 | (15) 0 | (17) (134, 134) | (18) X | (19) (107758, 36720) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1767.55
Output number: 2, Rank-22: (1) 0 | (2) 0 | (3)0/100 | (4) 1020, 1020 | (5) 101.537 | (6) 59.7064 | (7) 0.000582457 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 44.7222/100 | (15) 0 | (17) (1020, 1020) | (18) X | (19) (477348, 276405) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 3152.78
Output number: 2, Rank-8: (1) 0 | (2) 0 | (3)0/100 | (4) 941, 941 | (5) 106.044 | (6) 63.719 | (7) 0.000100857 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 46.9444/100 | (15) 0 | (17) (941, 941) | (18) X | (19) (442156, 252928) | (20) 0 | (21) 0 | (22) 0 | (23) 4 | (24) 3085.29
Output number: 2, Rank-19: (1) 42 | (2) 42 | (3)100/100 | (4) 785, 785 | (5) 87.6626 | (6) 76.3595 | (7) 0.000531805 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 45.5556/100 | (15) 0 | (17) (785, 785) | (18) X | (19) (404549, 214315) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1909.49
Output number: 2, Rank-21: (1) 0 | (2) 0 | (3)0/100 | (4) 810, 810 | (5) 39.6099 | (6) 92.2712 | (7) 8.3152e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 36.3889/100 | (15) 0 | (17) (810, 810) | (18) X | (19) (389949, 212311) | (20) 0 | (21) 0 | (22) 0 | (23) 1 | (24) 1540.52
Output number: 2, Rank-3: (1) 0 | (2) 0 | (3)0/100 | (4) 819, 819 | (5) 95.1853 | (6) 60.2115 | (7) 0.000491957 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 43.0556/100 | (15) 0 | (17) (819, 819) | (18) X | (19) (421936, 224112) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1854.15
Output number: 2, Rank-23: (1) 0 | (2) 0 | (3)0/100 | (4) 757, 757 | (5) 203.303 | (6) 38.7025 | (7) 0.00052907 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360.001 | (14) 67.2222/100 | (15) 0 | (17) (757, 757) | (18) X | (19) (366514, 206729) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 4821.4
Output number: 2, Rank-12: (1) 0 | (2) 0 | (3)0/100 | (4) 756, 756 | (5) 20.4291 | (6) 102.654 | (7) 0.000182581 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 34.1667/100 | (15) 0 | (17) (756, 756) | (18) X | (19) (380572, 207143) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 417.569
Output number: 2, Rank-18: (1) 13 | (2) 13 | (3)100/100 | (4) 1000, 1000 | (5) 83.8035 | (6) 66.9975 | (7) 3.3762e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 360 | (14) 41.6667/100 | (15) 0 | (17) (1000, 1000) | (18) X | (19) (510842, 274261) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 1683.35
