#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-staticworkload-contig/pond-sw-local-random-8-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.00359908 seconds
Distributing the actor graph took: 2.24572 seconds
Added actors in: 0.0952396 seconds.
Initialized connections of actors in: 0.011738 seconds.
Async Migration only
Output number: 1, Rank-63: (1) 2 | (2) 1470 | (3)0.136054/100 | (4) 22, 22 | (5) 170.501 | (6) 4.59058 | (7) 0.000106475 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 97.2222/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (48309, 48309) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 776.294 | (25) (36.0026, 66-23) | (26) 1
Output number: 1, Rank-47: (1) 1 | (2) 1488 | (3)0.0672043/100 | (4) 23, 23 | (5) 172.18 | (6) 3.61737 | (7) 0.000194642 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.2222/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (51674, 51674) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 765.286 | (25) (33.6772, 34-28) | (26) 1
Output number: 1, Rank-96: (1) 2 | (2) 1390 | (3)0.143885/100 | (4) 23, 23 | (5) 173.577 | (6) 3.03556 | (7) 0.000187508 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.7778/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (52772, 52772) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 754.651 | (25) (33.4293, 71-11) | (26) 15859
Output number: 1, Rank-114: (1) 2 | (2) 1532 | (3)0.130548/100 | (4) 24, 24 | (5) 174.256 | (6) 2.5752 | (7) 0.000145656 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.7778/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (52874, 52874) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 789.319 | (25) (33.6132, 14-46) | (26) 1
Output number: 1, Rank-207: (1) 2 | (2) 1557 | (3)0.128452/100 | (4) 23, 23 | (5) 169.196 | (6) 5.10995 | (7) 0.000176311 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 96.6667/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (51109, 51109) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 760.033 | (25) (33.668, 44-48) | (26) 1
Output number: 1, Rank-176: (1) 1 | (2) 1541 | (3)0.0648929/100 | (4) 23, 23 | (5) 164.997 | (6) 6.77467 | (7) 0.000192106 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 95/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (49976, 49976) | (20) 1 | (21) 0 | (22) 0 | (23) 2 | (24) 756.921 | (25) (33.7835, 53-68) | (26) 1
Output number: 1, Rank-170: (1) 2 | (2) 1526 | (3)0.131062/100 | (4) 23, 23 | (5) 169.591 | (6) 4.76958 | (7) 0.000240642 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 96.6667/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (51237, 51237) | (20) 1 | (21) 0 | (22) 0 | (23) 4 | (24) 759.645 | (25) (33.585, 69-61) | (26) 1
Output number: 1, Rank-146: (1) 0 | (2) 1460 | (3)0/100 | (4) 23, 23 | (5) 171.542 | (6) 3.79974 | (7) 0.000205767 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180 | (14) 97.2222/100 | (15) 0 | (17) (23, 23) | (18) X | (19) (51668, 51668) | (20) 0 | (21) 0 | (22) 0 | (23) 0 | (24) 762.526 | (25) (33.8274, 27-68) | (26) 1
Output number: 1, Rank-76: (1) 5 | (2) 1518 | (3)0.329381/100 | (4) 24, 24 | (5) 172.687 | (6) 3.35646 | (7) 8.7394e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 97.7778/100 | (15) 0 | (17) (24, 24) | (18) X | (19) (52616, 52616) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 786.848 | (25) (33.044, 45-18) | (26) 1
Output number: 1, Rank-45: (1) 0 | (2) 1429 | (3)0/100 | (4) 22, 22 | (5) 171.257 | (6) 4.1765 | (7) 0.000135685 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 180.001 | (14) 97.2222/100 | (15) 0 | (17) (22, 22) | (18) X | (19) (49856, 49856) | (20) 1 | (21) 0 | (22) 0 | (23) 3 | (24) 755.129 | (25) (34.6936, 26-32) | (26) 1
