#### POND Configuration ####
Total Grid Size:          18000x18000 = 324000000 cells. (x*y)
Patch Size:               250x250
Number of checkpoints:    10
File name Prefix:         /gpfs/scratch/pr63so/ge69xij2/sc3-nodeslowdown-newimplementation/pond-sw-global-busy-32-250-18000x18000-1/out/out
Scenario simulation area: {X: 0.000 - 100.000, Y: 0.000 - 100.000}
Cell Size:                0.00555556m * 0.00555556m (dx * dy)
#### POND Configuration ####
Exchanging global pointers took: 0.296193 seconds
Distributing the actor graph took: 2.47977 seconds
Added actors in: 0.0491729 seconds.
Initialized connections of actors in: 0.0177695 seconds.
Async Migration only
Rank-88: (1) 17 | (2) 1529 | (3)1.11184/100 | (4) 2 | (5) 77.0113 | (6) 19.4009 | (7) 4.4542e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 55.814/100| (15)0 | (16) 1
Rank-450: (1) 11 | (2) 1626 | (3)0.676507/100 | (4) 6 | (5) 97.8064 | (6) 34.8991 | (7) 0.000116311 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 76.7442/100| (15)0 | (16) 1
Rank-308: (1) 12 | (2) 1619 | (3)0.741198/100 | (4) 6 | (5) 101.38 | (6) 33.6368 | (7) 8.2625e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 78.4884/100| (15)0 | (16) 1
Rank-878: (1) 12 | (2) 1614 | (3)0.743494/100 | (4) 6 | (5) 110.974 | (6) 27.978 | (7) 0.000135486 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 80.2326/100| (15)0 | (16) 1
Rank-388: (1) 8 | (2) 1613 | (3)0.49597/100 | (4) 7 | (5) 114.655 | (6) 26.4822 | (7) 4.8562e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 81.9767/100| (15)0 | (16) 1
Rank-771: (1) 16 | (2) 1610 | (3)0.993789/100 | (4) 6 | (5) 112.258 | (6) 27.8146 | (7) 5.5702e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 81.3953/100| (15)0 | (16) 1
Rank-284: (1) 7 | (2) 1624 | (3)0.431034/100 | (4) 6 | (5) 101.191 | (6) 33.0484 | (7) 7.9043e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 77.907/100| (15)0 | (16) 1
Rank-490: (1) 10 | (2) 1616 | (3)0.618812/100 | (4) 6 | (5) 107.92 | (6) 29.6026 | (7) 0.000126643 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 79.6512/100| (15)0 | (16) 1
Rank-675: (1) 15 | (2) 1609 | (3)0.932256/100 | (4) 7 | (5) 113.087 | (6) 26.9741 | (7) 0.00012711 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 81.3953/100| (15)0 | (16) 1
Rank-233: (1) 12 | (2) 1617 | (3)0.742115/100 | (4) 6 | (5) 108.283 | (6) 29.3472 | (7) 7.2668e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 79.6512/100| (15)0 | (16) 1
Rank-801: (1) 13 | (2) 1610 | (3)0.807453/100 | (4) 7 | (5) 111.106 | (6) 27.7361 | (7) 4.714e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 80.2326/100| (15)0 | (16) 1
Rank-584: (1) 16 | (2) 1603 | (3)0.998129/100 | (4) 7 | (5) 112.147 | (6) 27.8546 | (7) 0.000108213 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 81.3953/100| (15)0 | (16) 1
Rank-541: (1) 11 | (2) 1605 | (3)0.685358/100 | (4) 6 | (5) 115.348 | (6) 25.7248 | (7) 0.000134239 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 81.9767/100| (15)0 | (16) 1
Rank-338: (1) 17 | (2) 1589 | (3)1.06986/100 | (4) 7 | (5) 125.93 | (6) 21.3827 | (7) 4.6221e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 85.4651/100| (15)0 | (16) 1
Rank-264: (1) 24 | (2) 1583 | (3)1.51611/100 | (4) 7 | (5) 127.539 | (6) 20.983 | (7) 3.4251e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 86.0465/100| (15)0 | (16) 1
Rank-417: (1) 12 | (2) 1627 | (3)0.737554/100 | (4) 5 | (5) 94.6129 | (6) 37.0067 | (7) 6.1117e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 76.1628/100| (15)0 | (16) 1
Rank-620: (1) 21 | (2) 1592 | (3)1.3191/100 | (4) 7 | (5) 121.719 | (6) 23.1961 | (7) 0.00010563 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 83.7209/100| (15)0 | (16) 1
Rank-507: (1) 17 | (2) 1604 | (3)1.05985/100 | (4) 7 | (5) 109.108 | (6) 29.6543 | (7) 8.1595e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.528 | (14) 80.2326/100| (15)0 | (16) 1
Rank-755: (1) 7 | (2) 1613 | (3)0.433974/100 | (4) 7 | (5) 108.481 | (6) 28.9666 | (7) 0.000132344 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 79.6512/100| (15)0 | (16) 1
Rank-823: (1) 9 | (2) 1627 | (3)0.553165/100 | (4) 5 | (5) 96.1799 | (6) 35.897 | (7) 4.9026e-05 | (8) 0 | (9) 0 | (10) 0 | (11) 0 | (12) 0 | (13) 172.529 | (14) 76.7442/100| (15)0 | (16) 1
